AGENT,SCORE,MOVES,GEMS_CLEARED,CASCADES,gpm,spm
expectimax,8080,186,732,44,3.935483870967742,43.44086021505376
random,800,17,76,5,4.470588235294118,47.05882352941177
expectimax,21550,468,1949,138,4.164529914529915,46.047008547008545
random,670,11,59,5,5.363636363636363,60.90909090909091
expectimax,21950,494,2039,150,4.127530364372469,44.4331983805668
random,13320,298,1224,81,4.10738255033557,44.69798657718121
expectimax,5660,127,526,38,4.141732283464567,44.56692913385827
random,4020,92,378,30,4.108695652173913,43.69565217391305
expectimax,16030,336,1433,110,4.2648809523809526,47.708333333333336
random,5570,121,519,36,4.289256198347108,46.03305785123967
expectimax,5910,123,531,42,4.317073170731708,48.048780487804876
random,4620,112,438,27,3.9107142857142856,41.25
expectimax,16350,354,1487,108,4.200564971751413,46.186440677966104
random,3100,61,280,23,4.590163934426229,50.81967213114754
expectimax,7550,156,639,45,4.096153846153846,48.3974358974359
random,2240,43,188,16,4.372093023255814,52.093023255813954
expectimax,23120,490,2074,156,4.2326530612244895,47.183673469387756
random,4640,107,436,31,4.074766355140187,43.36448598130841
expectimax,12830,275,1159,86,4.214545454545455,46.654545454545456
random,7630,170,721,57,4.241176470588235,44.88235294117647
expectimax,13010,312,1215,77,3.894230769230769,41.69871794871795
random,1780,42,170,9,4.0476190476190474,42.38095238095238
